date_id,email_datetime,customer_id,email_id,email_opens_cnt,email_clicks_cnt
2021-03-02,2021-03-02 22:06:24.000000 UTC,996,cbc2489f-d2ba-4d46-8d0e-d958903dc48b,4,NULL
2021-03-02,2021-03-02 18:51:53.000000 UTC,429,991e0286-239a-43d5-9b2a-178d1fff2824,10,NULL
2021-03-02,2021-03-02 19:46:42.000000 UTC,345,1cbd6462-9669-40e7-9ed6-c9c62b449680,1,NULL
2021-03-02,2021-03-02 15:56:57.000000 UTC,790,9c428e5c-7adc-423d-ac91-5fb4e7fdadaf,1,1
2021-03-02,2021-03-02 17:51:11.000000 UTC,503,ca3f39fd-0b47-4abf-b2a2-c36c0475cef8,1,1
2021-03-02,2021-03-02 15:58:14.000000 UTC,40,003fc4b8-a752-439d-a064-b1b668ce9e58,3,1
2021-03-02,2021-03-02 16:08:12.000000 UTC,201,044d2199-6577-44d1-99e8-a6ff0d671c0a,2,1
2021-03-02,2021-03-02 20:38:26.000000 UTC,499,9ae63d82-b6c7-4e11-8602-0a23f401543f,6,1
2021-03-02,2021-03-02 22:04:47.000000 UTC,429,9c0823f5-8a21-4107-9d37-f2c83dfe2d21,1,1
2021-03-02,2021-03-02 17:02:42.000000 UTC,711,288af050-1f12-4cbb-903b-5b0631f4cd8f,1,1
2021-03-02,2021-03-02 10:14:14.000000 UTC,408,3b05c18b-bdcf-41c7-8d10-201c6dc0eee5,3,1
2021-03-02,2021-03-02 09:17:55.000000 UTC,77,6c58e831-ca3b-4197-994c-6102913abca2,1,1
2021-03-02,2021-03-02 18:49:49.000000 UTC,430,c9663955-0060-421f-a77a-38ee2add8686,4,2
2021-03-02,2021-03-02 14:43:25.000000 UTC,971,64eda25d-4f0a-44d5-98f2-fd38574a3450,32,2
2021-03-02,2021-03-02 06:23:06.000000 UTC,842,cf2315f8-b20c-4c63-ab9a-c6a95f86f423,35,2
2021-03-02,2021-03-02 19:29:57.000000 UTC,78,5ab0ea5a-1d1c-4753-bdd2-d7eeea7c74fc,11,2
2021-03-02,2021-03-02 10:10:48.000000 UTC,1,efaedf21-12d1-4fc5-b37b-9774e6a4268e,3,2
2021-03-02,2021-03-02 13:38:02.000000 UTC,226,c6a7e6bb-4290-473c-9c97-6938fb94d9d4,7,3
2021-03-02,2021-03-02 19:50:29.000000 UTC,664,1528f0e8-44d5-4c85-a452-aeaea4c01fec,4,3
2021-03-02,2021-03-02 16:35:05.000000 UTC,77,7af760b9-727c-4faf-a1b0-72c9da34c67c,353,4
2021-03-02,2021-03-02 14:58:13.000000 UTC,520,6fe83d46-b03d-4c4a-b7ac-f12c30d6e6ab,8,4
2021-03-02,2021-03-02 00:02:07.000000 UTC,1,e3558c88-4082-4ae7-a6fb-0139d7de7939,7,5
2021-03-02,2021-03-02 10:28:16.000000 UTC,496,336617e5-f9a0-4437-ae5a-620991a5b4c1,13,5
2021-03-02,2021-03-02 00:28:20.000000 UTC,1,fdbda51d-46c9-4acd-85e1-f5904c9dcf7f,18,5
2021-03-02,2021-03-02 16:40:42.000000 UTC,448,48668463-5964-4a7e-bc7a-4b769b6d5cdc,12,5
2021-03-02,2021-03-02 22:04:57.000000 UTC,548,a349f42c-a51a-4104-9214-8422da20ed40,22,6
2021-03-02,2021-03-02 18:15:11.000000 UTC,712,0d2c3b72-3799-4f64-9cd3-55f41cee9e28,18,7
2021-03-02,2021-03-02 09:25:03.000000 UTC,382,a4eb0b6e-7f2c-4f26-8d6b-5779a6c783fc,30,7
2021-03-02,2021-03-02 18:27:30.000000 UTC,547,f39436c8-0f44-47e9-941f-30cef9284131,38,8
2021-03-02,2021-03-02 10:09:32.000000 UTC,208,6edb66ba-9121-435e-86ca-84964192a858,124,8
2021-03-02,2021-03-02 16:31:49.000000 UTC,790,3604751f-3fa3-4a07-b1be-7cdc50e862c5,41,10
2021-03-02,2021-03-02 15:40:55.000000 UTC,40,84637484-23b7-4345-8f2b-f07e710fa6b4,45,10
2021-03-02,2021-03-02 04:04:42.000000 UTC,447,bb3f676a-bb40-455f-9a13-ec6f6e2c3716,307,12
2021-03-02,2021-03-02 12:46:51.000000 UTC,379,56385156-6796-4f2c-922a-6174a10c1b26,32,13
2021-03-02,2021-03-02 21:47:52.000000 UTC,380,a011f61d-eb91-4636-af36-1bafa1d6f0cc,27,13
2021-03-02,2021-03-02 16:26:26.000000 UTC,52,69410aee-b7cb-49f3-8282-9149694d6831,26,14
2021-03-02,2021-03-02 08:26:39.000000 UTC,790,a87f6394-0fe1-46b8-a0a0-2c1a9bcd9f9e,45,16
2021-03-02,2021-03-02 15:21:27.000000 UTC,40,e6f01989-6527-46e0-bdd2-60557bf20675,40,18
2021-03-02,2021-03-02 17:55:13.000000 UTC,209,63501105-581d-41a8-ac8a-465d2f31d2c8,35,19
2021-03-02,2021-03-02 09:34:26.000000 UTC,998,0fee46a2-767e-4960-9502-a492fbceb7b5,70,20
2021-03-02,2021-03-02 15:51:01.000000 UTC,1,a0493e93-7c38-4e19-bf43-0428131a9ccd,264,21
2021-03-02,2021-03-02 17:37:12.000000 UTC,163,a553cd69-15dd-4623-ab66-65e76bf57e41,60,25
2021-03-02,2021-03-02 23:06:36.000000 UTC,923,8861d47f-07a3-4863-89d9-6c7c3e49715d,77,25
2021-03-02,2021-03-02 18:21:03.000000 UTC,1,bf8cac70-ff20-4f76-ad98-b933b2d7b6af,90,25
2021-03-02,2021-03-02 07:29:58.000000 UTC,347,04b2d3c9-cbc1-4d5f-8811-f8fd34d4871a,112,26
2021-03-02,2021-03-02 03:27:54.000000 UTC,225,78f0f407-0563-4a7e-ace2-fb6ec799e802,269,26
2021-03-02,2021-03-02 16:15:02.000000 UTC,549,703d6994-c6bf-42af-8b73-28b65df72e74,155,38
2021-03-03,2021-03-03 12:51:20.000000 UTC,688,35a46490-27ae-44d1-858d-fd764126d27c,5,NULL
